ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
d620d34371808fa93fc09b5ec4818c0a,0,34,female,Hackbright Academy,1,0,1,50,9,"100,000 - 1 million",3,0,2,Bachelor's and Higher
d61243148b885526c8921e1138d384ec,1,29,female,Other,0,0,0,5,15,>1 million,0,0,5,Less than Bachelor's
d588d9cc70e3df2559f00f8c9cafccc2,1,,,Other,0,0,1,40,12,,1,0,5,
d5690b8996182870b8af7c48db84d1cf,0,44,female,The Iron Yard,0,0,0,7,4,"100,000 - 1 million",1,1,3,Bachelor's and Higher
d4c7282b2ea0d714839a583431e6da06,0,,,Flatiron School,1,0,1,20,12,,5,0,3,
d49e8d589dd09a8aa3c36e2f4ec45e65,1,33,male,Other,1,1,0,20,3,"100,000 - 1 million",3,1,3,Bachelor's and Higher
d46b002550df78fcde126a71542ceeca,1,,,General Assembly,1,1,0,10,10,,3,0,4,
d444ee3f34cf833c172a3c49c71cba54,0,37,male,Other,1,0,0,40,16,"<100,000",0,0,3,Bachelor's and Higher
d3f42834a784e1af66b0d4ea714396a7,1,35,male,General Assembly,1,0,1,2,6,>1 million,0,1,5,Bachelor's and Higher
d389d02548de892e12ba575d4ff9dc66,1,22,male,Dev Bootcamp,1,1,1,1,2,"100,000 - 1 million",1,2,1,Less than Bachelor's
d377bebdcc86bfe401df629b9f2c7353,1,31,female,Other,1,0,1,35,20,"100,000 - 1 million",3,0,2,Bachelor's and Higher
d3728035d25a2035dcaa4a535ba83d58,0,23,male,Other,1,1,0,10,6,"100,000 - 1 million",2,0,2,Less than Bachelor's
d2bb6770710a9a473e5e8fadc0eb155d,0,29,,Other,0,1,1,20,16,>1 million,0,0,6,Less than Bachelor's
d2b12d526e19ce69240a91ace47f2ec8,1,26,female,Other,1,0,1,5,10,>1 million,2,0,1,Bachelor's and Higher
d2849c20122525c04954f0e3c0322744,1,57,male,Hack Reactor,1,0,1,10,36,"100,000 - 1 million",3,0,9,Bachelor's and Higher
d27cebcedc817dbb3c8b563bbac625ff,1,25,female,Other,1,0,1,60,6,>1 million,2,1,4,Bachelor's and Higher
d2797581cd58f2083cec5e5d548a4f65,0,24,female,Other,0,0,1,24,16,>1 million,1,0,3,Bachelor's and Higher
d215ee12344c9d79a060241ff32beb72,1,24,male,Dev Bootcamp,1,0,1,4,36,>1 million,2,0,3,Bachelor's and Higher
d1eee29ad291aa22e61483d94d17fc14,0,31,male,General Assembly,1,1,1,40,16,>1 million,1,2,5,Bachelor's and Higher
d1d248dc8353c516b9636e2bcb1ddfc3,0,32,female,Turing,0,0,1,70,5,>1 million,3,1,4,Bachelor's and Higher
d176cc5c10b39dadfa2e2bcadb4cb073,0,26,female,Turing,0,0,1,9,6,"100,000 - 1 million",0,1,2,Less than Bachelor's
d1588000412811414bd5afa095fa3274,1,27,female,Other,1,0,1,20,3,>1 million,1,2,6,Bachelor's and Higher
d11d088ad795a87301abc6ff89c0a809,0,,male,Other,1,0,0,60,36,>1 million,6,6,3,Bachelor's and Higher
d0c34c1217588fcf6bba53f561fb6f8a,0,27,female,Dev Bootcamp,0,0,0,5,17,>1 million,6,2,4,Less than Bachelor's
d0b96c89b0c8dd352a91d6181c311e34,0,35,female,Other,0,0,1,40,6,>1 million,1,0,3,Bachelor's and Higher
d09f8842442bd38f1df545152ddb6d80,0,26,female,Dev Bootcamp,1,1,1,6,12,>1 million,3,3,7,Bachelor's and Higher
d08017a35f90675c62d88896b203746b,0,42,female,Other,1,0,1,6,2,"100,000 - 1 million",1,0,1,Bachelor's and Higher
d071f3f77edef3b94625ebe81c7789cd,0,30,male,Other,0,0,1,50,3,"100,000 - 1 million",0,0,3,Bachelor's and Higher
d07067a62fa1ed11e5ec4643f7a5eb5c,0,,,App Academy,0,0,1,15,10,,1,2,4,
d05af6b093602aba1bf018ea6f1c1ccc,0,37,male,Other,1,1,0,15,15,"<100,000",1,1,3,Less than Bachelor's
d04d26c82b809636f14ff5526c3e3912,1,30,male,Dev Bootcamp,1,1,1,10,24,"100,000 - 1 million",1,0,4,Bachelor's and Higher
cfcc579fdde8757e8db4a36b8a2e6677,0,22,male,Flatiron School,1,0,1,40,10,>1 million,0,0,8,Less than Bachelor's
cf924630f2c19787f23ac005c91c5072,0,28,male,Other,0,0,1,40,1,"100,000 - 1 million",0,0,2,Bachelor's and Higher
cf29f2c4a1fa1fa0ab207d9399028ab9,0,,,Turing,0,0,1,70,5,,3,1,4,
cef6f0f9a75068d59c0873cbea0730f1,0,29,female,General Assembly,1,0,1,10,6,>1 million,1,0,3,Bachelor's and Higher
ceb15065deb52d5c9624ceb597bf54e1,0,23,female,Other,0,1,0,15,4,"<100,000",2,0,3,Bachelor's and Higher
ceb03cf6bf0cca56604a27edd8acd700,1,15,male,Other,0,0,1,2,12,"100,000 - 1 million",1,2,2,Less than Bachelor's
